,logo,Team,League,Elo,Avg Wins,Avg Losses,Make Playoffs %,Win Division %,Win World Series %
0,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/BAL.png&h=60,Orioles,AL East,"[1514.6027786825225, 1512.5711337424273, 1510.5676374095958, 1508.5443234671545, 1511.5490052846133, 1514.5120672596631, 1516.5135170119886, 1518.4873736606787, 1515.4341483260023, 1512.6969987563407, 1514.998940674994, 1517.267999351111, 1514.5047231556885, 1517.3259748607154, 1520.1072159313374, 1522.848870346797, 1520.6952748318595, 1523.5720233284812, 1526.4082147816368, 1523.5783593035276, 1520.7886023885758, 1523.038524422392, 1520.4763444505559, 1522.9510252516407, 1520.3901037307826, 1522.8639480615907, 1520.3022025158364, 1522.777311714937, 1520.2648572503824, 1517.788559098844, 1520.347887311414, 1522.0626799497593, 1523.7552986285964, 1525.4261682683643, 1528.1635823833083, 1525.8619019538742, 1528.5931004417314, 1525.6930482913756, 1522.8337676784247, 1525.0148774680931, 1527.8718800753245, 1525.6885143773868, 1523.1786783531954, 1525.7049607537674, 1528.1948880509467, 1530.3373595971239, 1527.4496837977888, 1524.602666742149, 1521.8256705517088, 1519.0882146017273]",89,73,65.0,2.0,2.0
1,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/BOS.png&h=60,Red Sox,AL East,"[1525.386430875973, 1522.684045103908, 1520.6242476270377, 1523.5931127701538, 1520.963130011675, 1518.3709202793423, 1515.815982440784, 1513.4461384054187, 1516.1102804802, 1518.7362122667819, 1521.1286912066792, 1523.4868258082154, 1520.811161515332, 1518.0612042638954, 1515.350485289373, 1512.6785474102298, 1514.9847907091846, 1517.2580797004491, 1514.4989627785624, 1511.5099211438248, 1508.5623848444789, 1510.6560287814232, 1513.6057780333774, 1511.5143289488178, 1509.4521154895485, 1507.4186085755418, 1509.9835740752562, 1507.5116402043047, 1505.0752677568582, 1508.0347179351143, 1505.9528914420273, 1508.9001269436658, 1505.9286723185073, 1502.9985890060682, 1505.1095401989899, 1508.036521848768, 1510.9224954417418, 1513.7678260036691, 1516.0891205259882, 1518.3772133197358, 1515.6326527365022, 1512.9272688703895, 1515.2137289475256, 1512.4675628524556, 1509.7605918330428, 1507.095034020239, 1504.467704283001, 1501.878112970462, 1504.7534332153473, 1507.5882098548614]",81,81,11.0,0.0,0.0
2,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/NYY.png&h=60,Yankees,AL East,"[1558.8576937783023, 1556.4755830876843, 1558.067171338742, 1559.6389455211092, 1561.1912841423232, 1558.7811888412812, 1561.405713250636, 1563.9925359222611, 1561.542159635429, 1564.0622586954078, 1566.5460912730275, 1563.9941858612663, 1566.4789980471799, 1568.1069989999246, 1569.7144891588541, 1571.301861134533, 1573.4554566494705, 1570.5787081528488, 1567.7425166996932, 1564.7778936546435, 1566.8545883755073, 1568.9023139068895, 1571.1706136913879, 1573.4065913639497, 1570.6107945702786, 1568.3631109886771, 1571.147401146847, 1573.8920714780243, 1570.7727377640063, 1567.6957235417049, 1569.6607998389613, 1566.7013496607053, 1568.7831761537923, 1565.8359406521538, 1567.9509402581753, 1565.0362814984594, 1562.1092998486813, 1559.2233262557074, 1556.3779956937801, 1558.660476961501, 1560.9103984449732, 1558.1283082118453, 1555.1960167190666, 1557.304778460566, 1559.3839934966693, 1555.8555472919606, 1557.3696357187998, 1558.8653869306095, 1555.9250480707435, 1558.025829988216]",92,70,85.0,8.0,8.0
3,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/tb.png&h=60,Rays,AL East,"[1576.6541731618008, 1573.691111186751, 1576.101206487793, 1573.4766820784382, 1570.889859406813, 1573.3402356936451, 1575.4517088992113, 1572.533586835036, 1569.6563963732638, 1571.819517268377, 1573.9521263799156, 1571.0547631592144, 1573.4110083497662, 1570.733484973789, 1573.0943389262766, 1575.4213503925207, 1578.1710935907702, 1575.881600945697, 1578.6247849847666, 1575.322752949172, 1572.0636065212395, 1573.847277038542, 1570.8975277865877, 1572.9889768711473, 1575.0511903304166, 1577.0846972444233, 1578.9808009006492, 1580.851278233297, 1582.6966132061277, 1584.5910363844528, 1581.4598649191723, 1583.3710706697004, 1579.7371872097058, 1576.145233430296, 1577.5954854080194, 1579.028606873229, 1581.013461083058, 1577.9710292165853, 1574.9704750850594, 1572.113472477828, 1574.2968381757657, 1570.6072497925395, 1571.9591496212547, 1568.295752199269, 1569.6740613095715, 1566.7014941480654, 1568.7703069410745, 1570.810293360402, 1572.926408277019, 1570.0128448875018]",101,61,100.0,90.0,15.0
4,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/TOR.png&h=60,Blue Jays,AL East,"[1562.2102063133855, 1559.2665993196485, 1556.3641402132996, 1559.059689397387, 1561.7166401025877, 1564.3354712877347, 1561.815372227756, 1559.3315396501362, 1561.8834450618974, 1559.3986328759838, 1556.5773811709569, 1553.796140100335, 1551.0544856848753, 1548.6982404943235, 1551.3757638703007, 1549.0149099178132, 1546.687898451569, 1548.7663041213123, 1545.815709644167, 1547.9063203942567, 1550.2062015929341, 1547.4732336507236, 1549.7793087557209, 1552.1309180315475, 1554.4488332932556, 1556.7336022062987, 1554.4356889644957, 1557.170592263596, 1559.8664300643934, 1562.5236658818978, 1559.480772239279, 1556.4797593221547, 1558.5203397847781, 1555.7829256698342, 1558.0846060992683, 1555.353407611411, 1557.3976682413952, 1554.413549439381, 1551.4708990164486, 1548.49356305587, 1550.5576438425219, 1552.592984154537, 1549.1030073426596, 1550.6557134691761, 1552.1893477545934, 1549.5914263756645, 1552.0308538255201, 1554.43520993902, 1551.5598896941349, 1548.7251130546208]",88,74,76.0,0.0,5.0
5,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/CHW.png&h=60,White Sox,AL Central,"[1478.0201864870812, 1480.1166172477715, 1477.1837226959487, 1474.2918864787268, 1472.5140193702116, 1475.7595331306454, 1473.9622602595484, 1476.8325233188577, 1479.6622906235611, 1477.4519602603148, 1479.5711359052825, 1481.6605785599138, 1483.720821751113, 1481.4447459395137, 1484.2011227626094, 1486.9181886366603, 1484.2332041697227, 1486.5866891102983, 1483.9064498495395, 1481.264621522817, 1478.7982083272746, 1481.367274113081, 1478.8993838830977, 1481.2978564616237, 1483.661890669955, 1485.9920314987492, 1489.1113652127672, 1492.1883794350686, 1490.223303137812, 1492.627236915786, 1489.9966469508618, 1487.4038379186009, 1485.638044515543, 1488.8954012613956, 1487.1099448103848, 1484.8772239691832, 1487.6762219670668, 1485.435442110724, 1483.0055699874893, 1485.6106230382984, 1483.178231772191, 1480.891771695055, 1483.637937790125, 1486.3449088095379, 1483.8985858535325, 1481.4874391243545, 1484.1109284442584, 1486.6967295885895, 1483.6398115321795, 1480.624863111246]",74,88,1.0,1.0,0.0
6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/CLE.png&h=60,Guardians,AL Central,"[1525.7628361439645, 1527.9976901429925, 1525.0184305537095, 1527.0806024381961, 1524.114068533041, 1521.3271517270705, 1523.5798832112996, 1525.8005553486323, 1522.930292289323, 1520.1005249846196, 1522.310855347866, 1519.8128477263067, 1517.3507864118508, 1514.9241388602475, 1517.2002146718467, 1514.443837848751, 1511.7267719747001, 1514.2957598329817, 1511.827792750137, 1514.395327886509, 1516.957507858345, 1514.4828270572602, 1517.0437485781183, 1514.355783584982, 1511.7063245691481, 1514.0948897801502, 1516.4491722419825, 1513.8842067422681, 1516.3561406132196, 1518.7925130606661, 1521.722082773766, 1519.6106223496695, 1522.5287569664897, 1519.892699764888, 1517.294494469518, 1519.7336418165958, 1517.0734333452601, 1514.451385598789, 1516.8670071168099, 1518.636489395999, 1520.3827510152423, 1522.1062360751744, 1519.5308661324802, 1521.992538898663, 1519.4188037347171, 1521.0860124231824, 1522.7319591061719, 1519.3570512418537, 1516.547988372316, 1518.778809588631]",83,79,56.99999999999999,56.00000000000001,2.0
7,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/DET.png&h=60,Tigers,AL Central,"[1460.5585624178411, 1463.537822007124, 1461.4756501226375, 1464.4421840277926, 1462.4289424781268, 1460.4435114608232, 1463.4853772105719, 1465.8407491150078, 1463.1623664815781, 1465.3088441020054, 1462.425103461072, 1459.5819851666, 1461.7830867737034, 1458.9530136730912, 1461.163041344591, 1463.8480258115285, 1461.494540870953, 1464.1747801317117, 1466.8166084584343, 1464.4377665712645, 1462.0930537824327, 1464.781923738934, 1462.383451160408, 1460.0194169520764, 1457.6892761232823, 1455.4560237720234, 1453.2544993435708, 1451.084156946765, 1448.904777585939, 1446.7561949898934, 1444.637867876969, 1448.0301691310924, 1446.3795769178519, 1444.74992826453, 1447.6101415795233, 1450.4299554685883, 1448.2097735306554, 1451.0210955258851, 1453.1268355448215, 1450.2030830300778, 1452.3203108614, 1450.0884632638945, 1452.8883195767824, 1450.6483889153842, 1453.4741912632683, 1451.2599363252252, 1449.0770833333938, 1451.925087762278, 1449.3228592614987, 1451.7580373354479]",71,91,0.0,0.0,0.0
8,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/KC.png&h=60,Royals,AL Central,"[1415.9167601486533, 1418.494794770512, 1421.43952114009, 1419.3430903793997, 1422.2759849312224, 1425.1678211484443, 1423.3326633462968, 1421.5219781428407, 1419.7352998877102, 1417.8581829798006, 1421.0063339950777, 1424.1120299079464, 1421.9928542629787, 1419.9034116083474, 1417.8431684171483, 1415.6420668100448, 1418.472139910657, 1416.2621122391572, 1413.76438161595, 1411.3025932503942, 1413.8762145504647, 1417.108058859014, 1415.2971509791992, 1413.0323710441928, 1410.7998539801026, 1413.599052271902, 1411.5060872056702, 1409.4423850723376, 1407.4074165349705, 1405.6926238966253, 1404.0000052177882, 1402.3291355780202, 1400.2108723242814, 1398.122325765557, 1396.0629625127062, 1394.296801028396, 1397.553796729413, 1395.7679799982425, 1393.6622399793062, 1396.5859924940498, 1394.4687646627276, 1398.1583530459538, 1396.8064532172386, 1400.4698506392244, 1399.0915415289219, 1397.4243328404566, 1395.7783861574671, 1399.1532940217853, 1397.8986173251685, 1401.65746762782]",52,110,0.0,0.0,0.0
9,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/scoreboard/MIN.png&h=60,Twins,AL Central,"[1486.5404178007086, 1484.2570094176474, 1487.0061762997288, 1489.716113894019, 1487.1239371550325, 1489.5690318642226, 1491.9789689937609, 1490.3370096110461, 1493.7158283829908, 1492.0517427896566, 1489.4888290039846, 1491.9627861684216, 1489.4011517770648, 1487.0784121204983, 1484.7888978452354, 1487.532060614125, 1485.4536549443817, 1488.4042494215269, 1486.3136386714373, 1489.5200688304549, 1487.6838214843276, 1490.8720674402034, 1493.5600324333398, 1496.2094914491736, 1493.8209262381715, 1491.4666437763392, 1489.5705401201133, 1487.7000627874654, 1485.8547278146348, 1488.8976214572535, 1491.898634374378, 1489.8580539117545, 1492.5287258006022, 1495.1611055857943, 1492.300892270801, 1489.4810783817359, 1491.7012603196688, 1488.889938324439, 1486.56864380212, 1484.2805510083724, 1487.025111591606, 1489.7304954577187, 1491.9623430552242, 1489.1624867423363, 1491.4024174037345, 1489.5600364119398, 1487.7422652249977, 1485.9486359326218, 1488.725632123062, 1491.4630880730435]",82,80,44.0,43.0,1.0
