last_name, first_name,player_id,year,exit_velocity_avg,barrel_batted_rate,z_swing_percent,oz_swing_percent,
Cabrera, Miguel,408234,2020,93.2,9.7,70.5,29.9,
Cruz Jr., Nelson,443558,2020,91.6,15,68.3,30.8,
Peralta, David,444482,2020,89.2,5,65.5,26.6,
Longoria, Evan,446334,2020,91.7,11.5,62.4,27.8,
Cabrera, Asdrubal,452678,2020,89.5,6.5,66.8,28.4,
Blackmon, Charlie,453568,2020,86.9,4.9,70.3,29.7,
Solano, Donovan,456781,2020,88.5,4.6,68.5,36.2,
McCutchen, Andrew,457705,2020,89.7,8.2,58.8,21.4,
Votto, Joey,458015,2020,87.4,9.1,57.2,17.3,
Santana, Carlos,467793,2020,88,6.7,61.4,16.6,
Brantley Jr., Michael,488726,2020,88.7,4.9,59.3,20,
Gurriel, Yuli,493329,2020,89.3,3.7,66,34.4,
Escobar, Eduardo,500871,2020,88.6,5.5,70.2,35.2,
Martinez, J.D.,502110,2020,89.5,11,73.7,30.9,
Reddick, Josh,502210,2020,85.9,4.8,68.4,25.7,
Goldschmidt, Paul,502671,2020,89.2,10.7,61.1,22.5,
Gonzalez, Marwin,503556,2020,89.2,5.1,61.4,26.8,
Altuve, Jose,514888,2020,86.7,4.6,67.9,35.3,
Hernandez, Cesar,514917,2020,89.1,4,65,22.9,
Segura, Jean,516416,2020,87.7,6.1,65.1,31.5,
Marte, Starling,516782,2020,87.1,6.4,73.2,34.8,
Freeman, Freddie,518692,2020,92.4,14.7,77.7,25.8,
Grandal, Yasmani,518735,2020,90.3,7.6,49.3,20.1,
LeMahieu, DJ,518934,2020,91.3,2.9,64,24,
Rizzo, Anthony,519203,2020,87.7,7.8,56,31.7,
Flores, Wilmer,527038,2020,87.9,6.1,69.5,29.7,
Garcia, Avisail,541645,2020,87.4,3.8,78.5,34.5,
Ozuna, Marcell,542303,2020,93,15.4,68.7,28.2,
Villar, Jonathan,542340,2020,86.7,1.5,74.7,33.6,
Aguilar, Jesus,542583,2020,89.3,7.2,63.8,31.9,
Crawford, Brandon,543063,2020,88.7,9.4,78.3,31.7,
Grossman, Robbie,543257,2020,89,5.5,65.9,21.7,
Hicks, Aaron,543305,2020,88.2,6.9,66.4,15.4,
Rendon, Anthony,543685,2020,90.1,6.3,66.9,16.5,
Semien, Marcus,543760,2020,86.2,5,70.9,18.5,
Springer III, George,543807,2020,88.7,12.4,74,23.6,
Vazquez, Christian,543877,2020,88.4,4.6,65,31.3,
Wong, Kolten,543939,2020,86.5,0.6,65.4,24.2,
Gregorius, Didi,544369,2020,83.8,4.2,74,33.2,
Grichuk, Randal,545341,2020,88.9,11.2,71.1,34,
Trout, Mike,545361,2020,93.7,15,57.4,14.4,
Ruiz, Rio,547004,2020,87.9,8.5,77.4,28.3,
Harper, Bryce,547180,2020,92.5,17.3,73.4,28.3,
Abreu, Jose,547989,2020,92.9,14.3,68.6,32.2,
Suarez, Eugenio,553993,2020,89.1,14.4,63.1,24,
Gonzalez, Erik,570481,2020,88.5,6.7,74,35.1,
Arenado, Nolan,571448,2020,87.8,5.4,66.2,32.4,
Muncy, Max,571970,2020,88.5,12.4,59.6,15.9,
Myers, Wil,571976,2020,91,14.8,62.6,25.1,
Pollock, AJ,572041,2020,89.6,10.5,65.3,29.9,
Seager, Kyle,572122,2020,89.1,10.2,62.5,20.6,
Voit III, Luke,572228,2020,88.9,13.1,79.2,27.5,
Walker, Christian,572233,2020,90.4,6.4,74.3,29.9,
Dickerson, Corey,572816,2020,85.7,5.7,73.7,33.2,
Yastrzemski, Mike,573262,2020,88.2,10.9,58.6,19.7,
Contreras, Willson,575929,2020,89.8,10.4,67.8,31.3,
Canha, Mark,592192,2020,89.7,7.7,57.6,19.3,
Castellanos, Nick,592206,2020,91,16,73.2,35.9,
Machado, Manny,592518,2020,90.2,11,71.8,24,
Moran, Colin,592567,2020,91.9,13.4,69.2,35.7,
Realmuto, J.T.,592663,2020,90.2,13.6,66.9,25.2,
Rosario, Eddie,592696,2020,87.5,6.2,70.2,39.4,
Yelich, Christian,592885,2020,94,12.1,57.7,17.7,
Merrifield, Whit,593160,2020,86.1,5.1,71.8,28,
Bogaerts, Xander,593428,2020,89,8.6,64.3,23.7,
Alberto, Hanser,593643,2020,82.3,1,75.7,52.3,
Polanco, Jorge,593871,2020,86.6,2.8,64.4,23.2,
Sano, Miguel,593934,2020,95.2,22.9,70.3,28,
Calhoun, Kole,594777,2020,89.4,11.8,76,21.4,
Duvall, Adam,594807,2020,88.1,13.9,66.6,32.5,
Profar, Jurickson,595777,2020,87.2,3.2,66.5,28.5,
Baez, Javier,595879,2020,89.4,8.1,73.4,38.6,
Lindor, Francisco,596019,2020,89.9,5.6,72.3,29.9,
Story, Trevor,596115,2020,89.9,8.7,66.6,28.2,
Kepler, Max,596146,2020,88.5,5.1,66.7,24.1,
Franco, Maikel,596748,2020,86.7,5.8,71.4,32.8,
Bradley Jr., Jackie,598265,2020,88.4,7.6,67.4,23.8,
La Stella, Tommy,600303,2020,88,4.8,54.2,21.3,
Nunez, Renato,600524,2020,86.3,12.1,66.7,40,
Candelario, Jeimer,600869,2020,90.2,10.3,67.8,26.2,
Ahmed, Nick,605113,2020,87.7,5.2,69.3,30.1,
Anderson, Brian,605119,2020,87.4,9.6,73.4,29.6,
Bell, Josh,605137,2020,91.7,8.6,72.3,26.9,
Betts, Mookie,605141,2020,90.7,7.7,58,23.2,
Davis, J.D.,605204,2020,90.1,8.9,66.5,23.3,
Arcia, Orlando,606115,2020,89,5.6,67.6,28.1,
Tapia, Raimel,606132,2020,85.3,2,71.3,30.7,
Hernandez, Teoscar,606192,2020,93.3,18,62.9,30.9,
Marte, Ketel,606466,2020,89.2,3.7,61.6,28,
Nimmo, Brandon,607043,2020,87.2,7.7,67.5,17,
Turner, Trea,607208,2020,90.5,9.5,67.6,27.2,
Pillar, Kevin,607680,2020,87.1,5.4,67.2,36.8,
Ramirez, Jose,608070,2020,88.7,10.2,63.2,22.6,
Gallo, Joey,608336,2020,91.2,14,66.9,19.1,
Seager, Corey,608369,2020,93.2,15.8,82.2,30.3,
Mondesi, Adalberto,609275,2020,90.6,7.3,77.4,35,
Reyes, Franmil,614177,2020,92.4,12.9,69.3,27.5,
Swanson, Dansby,621020,2020,89.1,11.4,71,23.9,
Taylor, Chris,621035,2020,88,11.5,73.7,17.3,
Correa, Carlos,621043,2020,88.8,5.9,65.7,31.7,
Olson, Matt,621566,2020,92.3,12.8,67.6,19.9,
Reyes, Victor,622682,2020,90,3.8,69,41.7,
Alonso, Pete,624413,2020,90.2,12.8,65.3,30.5,
Biggio, Cavan,624415,2020,87.4,5,59.5,13.7,
Conforto, Michael,624424,2020,88.4,11,64.8,25.3,
Frazier, Adam,624428,2020,85.5,4,68.9,24.7,
Cronenworth, Jake,630105,2020,89.8,10.5,58.1,19,
Anderson, Tim,641313,2020,87.2,10.1,72.8,39.4,
Bellinger, Cody,641355,2020,89.3,9.4,68.1,27.9,
Crawford, J.P.,641487,2020,85.8,1.8,58.3,22.9,
Dozier, Hunter,641531,2020,86.4,8.2,64.1,24.4,
Lewis, Kyle,641786,2020,88.3,11.7,64.1,24.6,
McMahon, Ryan,641857,2020,90.1,11.2,67.7,27.2,
Smith, Dominic,642086,2020,89.8,13.3,71.9,33.5,
Adames, Willy,642715,2020,88.8,9.9,69.3,26.2,
Kiner-Falefa, Isiah,643396,2020,87.2,2.2,65.5,27.4,
McNeil, Jeff,643446,2020,86.6,2.5,83.1,32.4,
Robles, Victor,645302,2020,82.2,1.7,73.1,29.1,
Devers, Rafael,646240,2020,93,12.1,74.3,38.6,
Jimenez, Eloy,650391,2020,92.4,16.5,75.4,37.9,
Schwarber, Kyle,656941,2020,92.8,11.2,62.3,27.8,
