year,player_id,last_name,first_name,batting_hand,throwing_hand,team_abbr_1,position
2001,andeg001,Anderson,Garret,L,L,ANA,OF
2001,barnl001,Barnes,Larry,L,L,ANA,1B
2001,borlt001,Borland,Toby,R,R,ANA,P
2001,burkj003,Burke,Jamie,R,R,ANA,C
2001,coopb001,Cooper,Brian,R,R,ANA,P
2001,davaj001,DaVanon,Jeff,B,R,ANA,OF
2001,ecksd001,Eckstein,David,R,R,ANA,SS
2001,erstd001,Erstad,Darin,L,L,ANA,OF
2001,fabrj001,Fabregas,Jorge,L,R,ANA,C
2001,fernj001,Fernandez,Jose,R,R,ANA,DH
2001,gil-b001,Gil,Benji,R,R,ANA,SS
2001,glaut001,Glaus,Troy,R,R,ANA,3B
2001,grees003,Green,Steve,R,R,ANA,P
2001,hases001,Hasegawa,Shigetoshi,R,R,ANA,P
2001,hillg001,Hill,Glenallen,R,R,ANA,DH
2001,holtm001,Holtz,Mike,L,L,ANA,P
2001,joynw001,Joyner,Wally,L,L,ANA,1B
2001,kenna001,Kennedy,Adam,L,R,ANA,2B
2001,levia001,Levine,Al,L,R,ANA,P
2001,lukam001,Lukasiewicz,Mark,L,L,ANA,P
2001,miadb001,Miadich,Bart,R,R,ANA,P
2001,molib001,Molina,Bengie,R,R,ANA,C
2001,molij001,Molina,Jose,R,R,ANA,C
2001,nievj002,Nieves,Jose,R,R,ANA,2B
2001,ortir002,Ortiz,Ramon,R,R,ANA,P
2001,palmo001,Palmeiro,Orlando,L,L,ANA,OF
2001,perct001,Percival,Troy,R,R,ANA,P
2001,potel001,Pote,Lou,R,R,ANA,P
2001,rappp001,Rapp,Pat,R,R,ANA,P
2001,salmt001,Salmon,Tim,R,R,ANA,OF
2001,schos001,Schoeneweis,Scott,L,L,ANA,P
2001,shies002,Shields,Scot,R,R,ANA,P
2001,spies001,Spiezio,Scott,B,R,ANA,1B
2001,valdi001,Valdez,Ismael,R,R,ANA,P
2001,washj001,Washburn,Jarrod,L,L,ANA,P
2001,webeb001,Weber,Ben,R,R,ANA,P
2001,wisem001,Wise,Matt,R,R,ANA,P
2001,woots001,Wooten,Shawn,R,R,ANA,DH
2001,andeb002,Anderson,Brian,L,L,ARI,P
2001,barar001,Barajas,Rod,R,R,ARI,C
2001,batim001,Batista,Miguel,R,R,ARI,P
2001,bautd001,Bautista,Danny,R,R,ARI,OF
2001,bellj001,Bell,Jay,R,R,ARI,2B
2001,biern001,Bierbrodt,Nick,L,L,ARI,P
2001,broht001,Brohawn,Troy,L,L,ARI,P
2001,chrir001,Christenson,Ryan,R,R,ARI,OF
2001,cinta001,Cintron,Alex,B,R,ARI,SS
2001,colbg001,Colbrunn,Greg,R,R,ARI,1B
2001,contj001,Conti,Jason,L,R,ARI,OF
2001,counc001,Counsell,Craig,L,R,ARI,SS
2001,cummm001,Cummings,Midre,L,R,ARI,OF
2001,custj001,Cust,Jack,L,R,ARI,OF
