game_id,var,value
ANA200104100,visteam,TEX
ANA200104100,hometeam,ANA
ANA200104100,site,ANA01
ANA200104100,date,4/10/01
ANA200104100,number,0
ANA200104100,starttime,7:10PM
ANA200104100,daynight,night
ANA200104100,usedh,TRUE
ANA200104100,umphome,danlk901
ANA200104100,ump1b,gibsg901
ANA200104100,ump2b,demud901
ANA200104100,ump3b,relic901
ANA200104100,howscored,park
ANA200104100,pitches,pitches
ANA200104100,oscorer,munse701
ANA200104100,temp,68
ANA200104100,winddir,ltor
ANA200104100,windspeed,5
ANA200104100,fieldcond,unknown
ANA200104100,precip,unknown
ANA200104100,sky,sunny
ANA200104100,timeofgame,188
ANA200104100,attendance,42784
ANA200104100,wp,olivd001
ANA200104100,lp,rappp001
ANA200104100,save,crabt001
ANA200104100,hometeam_score,4
ANA200104100,awayteam_score,7
ANA200104110,visteam,TEX
ANA200104110,hometeam,ANA
ANA200104110,site,ANA01
ANA200104110,date,4/11/01
ANA200104110,number,0
ANA200104110,starttime,7:07PM
ANA200104110,daynight,night
ANA200104110,usedh,TRUE
ANA200104110,umphome,gibsg901
ANA200104110,ump1b,demud901
ANA200104110,ump2b,relic901
ANA200104110,ump3b,danlk901
ANA200104110,howscored,park
ANA200104110,pitches,pitches
ANA200104110,oscorer,munse701
ANA200104110,temp,60
ANA200104110,winddir,ltor
ANA200104110,windspeed,7
ANA200104110,fieldcond,unknown
ANA200104110,precip,unknown
ANA200104110,sky,cloudy
ANA200104110,timeofgame,177
ANA200104110,attendance,16974
ANA200104110,wp,ortir002
ANA200104110,lp,glynr001
ANA200104110,save,
ANA200104110,hometeam_score,7
ANA200104110,awayteam_score,2
ANA200104120,visteam,TEX
ANA200104120,hometeam,ANA
ANA200104120,site,ANA01
ANA200104120,date,4/12/01
ANA200104120,number,0
ANA200104120,starttime,7:08PM
ANA200104120,daynight,night
ANA200104120,usedh,TRUE
ANA200104120,umphome,demud901
ANA200104120,ump1b,relic901
ANA200104120,ump2b,danlk901
ANA200104120,ump3b,gibsg901
ANA200104120,howscored,park
ANA200104120,pitches,pitches
ANA200104120,oscorer,munse701
ANA200104120,temp,56
ANA200104120,winddir,ltor
ANA200104120,windspeed,5
ANA200104120,fieldcond,unknown
ANA200104120,precip,unknown
ANA200104120,sky,sunny
ANA200104120,timeofgame,182
ANA200104120,attendance,17435
ANA200104120,wp,potel001
ANA200104120,lp,hellr001
ANA200104120,save,
ANA200104120,hometeam_score,13
ANA200104120,awayteam_score,2
ANA200104130,visteam,SEA
ANA200104130,hometeam,ANA
ANA200104130,site,ANA01
ANA200104130,date,4/13/01
ANA200104130,number,0
ANA200104130,starttime,7:07PM
ANA200104130,daynight,night
ANA200104130,usedh,TRUE
ANA200104130,umphome,fleta901
ANA200104130,ump1b,younl901
ANA200104130,ump2b,scotd901
ANA200104130,ump3b,culbf901
ANA200104130,howscored,park
ANA200104130,pitches,pitches
ANA200104130,oscorer,munse701
ANA200104130,temp,64
ANA200104130,winddir,ltor
ANA200104130,windspeed,3
ANA200104130,fieldcond,unknown
ANA200104130,precip,unknown
ANA200104130,sky,sunny
ANA200104130,timeofgame,151
ANA200104130,attendance,31087
ANA200104130,wp,hases001
ANA200104130,lp,sasak001
ANA200104130,save,
ANA200104130,hometeam_score,2
ANA200104130,awayteam_score,3
ANA200104140,visteam,SEA
ANA200104140,hometeam,ANA
ANA200104140,site,ANA01
ANA200104140,date,4/14/01
ANA200104140,number,0
ANA200104140,starttime,7:05PM
ANA200104140,daynight,night
ANA200104140,usedh,TRUE
ANA200104140,umphome,younl901
ANA200104140,ump1b,scotd901
ANA200104140,ump2b,culbf901
ANA200104140,ump3b,fleta901
ANA200104140,howscored,park
ANA200104140,pitches,pitches
ANA200104140,oscorer,munse701
ANA200104140,temp,65
ANA200104140,winddir,rtol
ANA200104140,windspeed,10
ANA200104140,fieldcond,unknown
ANA200104140,precip,unknown
ANA200104140,sky,sunny
ANA200104140,timeofgame,172
ANA200104140,attendance,34780
ANA200104140,wp,garcf002
ANA200104140,lp,valdi001
ANA200104140,save,sasak001
ANA200104140,hometeam_score,1
ANA200104140,awayteam_score,2
ANA200104150,visteam,SEA
ANA200104150,hometeam,ANA
ANA200104150,site,ANA01
ANA200104150,date,4/15/01
ANA200104150,number,0
ANA200104150,starttime,1:07PM
ANA200104150,daynight,day
ANA200104150,usedh,TRUE
ANA200104150,umphome,scotd901
ANA200104150,ump1b,culbf901
ANA200104150,ump2b,fleta901
ANA200104150,ump3b,younl901
ANA200104150,howscored,park
ANA200104150,pitches,pitches
ANA200104150,oscorer,munse701
ANA200104150,temp,72
ANA200104150,winddir,ltor
ANA200104150,windspeed,7
ANA200104150,fieldcond,unknown
ANA200104150,precip,unknown
ANA200104150,sky,sunny
ANA200104150,timeofgame,175
ANA200104150,attendance,20733
ANA200104150,wp,panij001
ANA200104150,lp,hases001
ANA200104150,save,nelsj001
ANA200104150,hometeam_score,5
ANA200104150,awayteam_score,7
ANA200104160,visteam,OAK
ANA200104160,hometeam,ANA
ANA200104160,site,ANA01
ANA200104160,date,4/16/01
ANA200104160,number,0
ANA200104160,starttime,7:07PM
ANA200104160,daynight,night
ANA200104160,usedh,TRUE
ANA200104160,umphome,dimum901
ANA200104160,ump1b,emmep901
ANA200104160,ump2b,mcclt901
ANA200104160,ump3b,rapue901
ANA200104160,howscored,park
ANA200104160,pitches,pitches
ANA200104160,oscorer,munse701
ANA200104160,temp,59
ANA200104160,winddir,ltor
ANA200104160,windspeed,5
ANA200104160,fieldcond,unknown
ANA200104160,precip,unknown
ANA200104160,sky,sunny
ANA200104160,timeofgame,176
ANA200104160,attendance,16368
ANA200104160,wp,muldm001
ANA200104160,lp,washj001
ANA200104160,save,isrij001
ANA200104160,hometeam_score,3
ANA200104160,awayteam_score,6
ANA200104170,visteam,OAK
ANA200104170,hometeam,ANA
ANA200104170,site,ANA01
ANA200104170,date,4/17/01
ANA200104170,number,0
ANA200104170,starttime,7:05PM
ANA200104170,daynight,night
ANA200104170,usedh,TRUE
ANA200104170,umphome,emmep901
ANA200104170,ump1b,mcclt901
ANA200104170,ump2b,rapue901
ANA200104170,ump3b,dimum901
ANA200104170,howscored,park
ANA200104170,pitches,pitches
ANA200104170,oscorer,munse701
ANA200104170,temp,57
ANA200104170,winddir,ltor
ANA200104170,windspeed,6
ANA200104170,fieldcond,unknown
ANA200104170,precip,unknown
ANA200104170,sky,sunny
ANA200104170,timeofgame,172
ANA200104170,attendance,17837
ANA200104170,wp,hudst001
ANA200104170,lp,ortir002
ANA200104170,save,
ANA200104170,hometeam_score,1
ANA200104170,awayteam_score,5
ANA200104180,visteam,OAK
ANA200104180,hometeam,ANA
ANA200104180,site,ANA01
ANA200104180,date,4/18/01
ANA200104180,number,0
ANA200104180,starttime,7:07PM
ANA200104180,daynight,night
ANA200104180,usedh,TRUE
ANA200104180,umphome,mcclt901
ANA200104180,ump1b,rapue901
ANA200104180,ump2b,dimum901
ANA200104180,ump3b,emmep901
ANA200104180,howscored,park
ANA200104180,pitches,pitches
ANA200104180,oscorer,munse701
ANA200104180,temp,65
ANA200104180,winddir,ltor
ANA200104180,windspeed,4
ANA200104180,fieldcond,unknown
ANA200104180,precip,unknown
ANA200104180,sky,cloudy
ANA200104180,timeofgame,168
ANA200104180,attendance,17962
ANA200104180,wp,perct001
ANA200104180,lp,mecij001
ANA200104180,save,
ANA200104180,hometeam_score,2
ANA200104180,awayteam_score,2
ANA200105010,visteam,CHA
ANA200105010,hometeam,ANA
ANA200105010,site,ANA01
ANA200105010,date,5/1/01
ANA200105010,number,0
ANA200105010,starttime,7:07PM
ANA200105010,daynight,night
ANA200105010,usedh,TRUE
ANA200105010,umphome,hudsm901
ANA200105010,ump1b,welkt901
ANA200105010,ump2b,timmt901
ANA200105010,ump3b,cedeg901
ANA200105010,howscored,park
ANA200105010,pitches,pitches
ANA200105010,oscorer,munse701
ANA200105010,temp,80
ANA200105010,winddir,ltor
ANA200105010,windspeed,5
ANA200105010,fieldcond,unknown
ANA200105010,precip,unknown
ANA200105010,sky,sunny
ANA200105010,timeofgame,174
ANA200105010,attendance,15664
ANA200105010,wp,rappp001
ANA200105010,lp,welld001
ANA200105010,save,perct001
ANA200105010,hometeam_score,6
ANA200105010,awayteam_score,3
ANA200105020,visteam,CHA
ANA200105020,hometeam,ANA
ANA200105020,site,ANA01
ANA200105020,date,5/2/01
ANA200105020,number,0
ANA200105020,starttime,7:07PM
ANA200105020,daynight,night
ANA200105020,usedh,TRUE
ANA200105020,umphome,welkt901
ANA200105020,ump1b,timmt901
ANA200105020,ump2b,cedeg901
