8,4,9,5,7,2,10,3,6,1,game_id,home_away
erstd001,ecksd001,salmt001,glaut001,andeg001,molib001,hillg001,woots001,gil-b001,rappp001,ANA200104100,home
curtc001,velar001,mater001,camik001,greer001,rodri001,galaa001,palmr001,rodra001,olivd001,ANA200104100,away
erstd001,ecksd001,salmt001,glaut001,andeg001,molib001,spies001,joynw001,gil-b001,ortir002,ANA200104110,home
curtc001,velar001,mater001,camik001,greer001,rodri001,galaa001,palmr001,rodra001,glynr001,ANA200104110,away
erstd001,ecksd001,salmt001,glaut001,andeg001,molib001,hillg001,joynw001,gil-b001,wisem001,ANA200104120,home
curtc001,velar001,mater001,camik001,greer001,rodri001,galaa001,palmr001,rodra001,hellr001,ANA200104120,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,hillg001,joynw001,gil-b001,schos001,ANA200104130,home
camem001,boonb002,suzui001,belld002,sanda001,wilsd001,marte001,olerj001,guilc001,tomkb001,ANA200104130,away
erstd001,kenna001,palmo001,glaut001,andeg001,fabrj001,salmt001,joynw001,ecksd001,valdi001,ANA200104140,home
javis001,boonb002,suzui001,belld002,marta001,wilsd001,marte001,olerj001,guilc001,garcf002,ANA200104140,away
erstd001,ecksd001,salmt001,glaut001,andeg001,molib001,hillg001,woots001,gil-b001,rappp001,ANA200104150,home
camem001,boonb002,suzui001,mclem001,marta001,lampt001,marte001,olerj001,guilc001,halaj001,ANA200104150,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,hillg001,woots001,gil-b001,washj001,ANA200104160,home
longt002,menef001,piata001,chave001,damoj001,hernr002,saeno001,giamj001,tejam001,muldm001,ANA200104160,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,joynw001,spies001,ecksd001,ortir002,ANA200104170,home
longt002,menef001,giamj002,chave001,damoj001,hernr002,saeno001,giamj001,tejam001,hudst001,ANA200104170,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,hillg001,joynw001,gil-b001,schos001,ANA200104180,home
