game_id,order,stat,bfrom,bto,player_id
ANA200104100,5,CS,1,2,ecksd001
ANA200104100,13,R,3,H,palmr001
ANA200104100,13,R,2,H,galaa001
ANA200104100,13,R,1,H,curtc001
ANA200104100,14,R,2,H,mater001
ANA200104100,19,R,3,H,woots001
ANA200104100,25,R,1,H,ecksd001
ANA200104100,27,R,3,H,salmt001
ANA200104100,33,R,1,H,camik001
ANA200104100,33,R,B,H,curtc001
ANA200104100,44,R,2,H,rodra001
ANA200104100,56,R,B,H,hillg001
ANA200104100,87,R,1,H,ecksd001
ANA200104110,14,R,1,H,ecksd001
ANA200104110,14,R,B,H,gil-b001
ANA200104110,20,SB,1,2,curtc001
ANA200104110,32,R,3,H,molib001
ANA200104110,32,R,2,H,ecksd001
ANA200104110,32,R,1,H,gil-b001
ANA200104110,33,PO,3,H,erstd001
ANA200104110,38,R,B,H,glaut001
ANA200104110,63,R,1,H,ecksd001
ANA200104110,70,R,3,H,curtc001
ANA200104110,71,R,3,H,mater001
ANA200104110,75,PO,2,H,velar001
ANA200104120,9,R,2,H,galaa001
ANA200104120,21,SB,1,2,
ANA200104120,26,R,2,H,molib001
ANA200104120,29,R,3,H,ecksd001
ANA200104120,29,R,2,H,erstd001
ANA200104120,30,R,3,H,salmt001
ANA200104120,30,R,2,H,glaut001
ANA200104120,34,SB,1,2,curtc001
ANA200104120,39,R,1,H,
ANA200104120,40,R,2,H,erstd001
ANA200104120,44,R,1,H,rodra001
ANA200104120,57,R,3,H,molib001
ANA200104120,57,R,2,H,ecksd001
ANA200104120,60,R,3,H,gil-b001
ANA200104120,61,R,1,H,erstd001
ANA200104120,61,R,B,H,glaut001
ANA200104120,88,R,B,H,barnl001
ANA200104120,96,R,2,H,curtc001
ANA200104130,2,R,1,H,camem001
ANA200104130,10,R,2,H,sanda001
ANA200104130,21,R,1,H,molib001
ANA200104130,21,R,B,H,kenna001
ANA200104130,36,R,2,H,guilc001
ANA200104130,41,SB,1,2,gil-b001
ANA200104130,81,R,1,H,glaut001
ANA200104130,81,R,B,H,andeg001
